PDB ID,n,N
2l4l,2.0,1
2l4z,1.0,1
2l51,2.0,2
2l5u,1.0,1
2l5y,1.0,1
2l6l,1.0,1
2l6m,1.0,1
2l6y,2.0,2
2l6z,3.0,3
2l75,2.0,1
2l7p,1.0,1
2l7x,1.0,1
2l80,1.0,1
2l8e,1.0,1
2l9z,1.0,1
2lau,1.0,1
2lbm,2.0,1
2lc5,1.0,1
2lce,1.0,1
2lcq,1.0,1
2ldr,1.0,1
2lel,1.0,1
2lex,3.0,1
2lff,1.0,1
2lgp,1.0,1
2lgv,1.0,1
2lhh,1.0,1
2lhi,1.0,1
2lhn,1.0,1
2li8,2.0,1
2ljx,1.0,1
2ljy,2.0,2
2ljz,1.0,1
2lk1,1.0,1
2lk5,2.0,2
2lli,1.0,1
2llo,2.0,1
2lmv,1.0,1
2lo2,1.0,1
2lo3,1.0,1
2lq6,1.0,1
2lri,1.0,1
2lua,1.0,1
2lul,1.0,1
2luy,1.0,1
2lv2,1.0,1
2lv7,1.0,1
2lv9,1.0,1
2lvh,1.0,1
2lvk,1.0,1
2lvr,1.0,1
2lwr,1.0,1
2lxd,1.0,1
2lxh,1.0,1
2lxp,3.0,2
2lxw,1.0,1
2lze,1.0,1
2lzu,1.0,1
2m0d,1.0,1
2m0p,1.0,1
2m1s,1.0,1
2m28,1.0,1
2m29,1.0,1
2m32,4.0,1
2m3l,1.0,1
2m3z,1.0,1
2m48,1.0,1
2m5e,2.0,1
2m5t,1.0,1
2m6m,1.0,1
2m6n,1.0,1
2m7a,1.0,1
2m7b,1.0,1
2m7m,1.0,1
2m7n,1.0,1
2m7p,1.0,1
2m85,1.0,1
2m96,1.0,1
2m98,1.0,1
2m9a,1.0,1
2m9w,1.0,1
2m9y,1.0,1
2ma5,1.0,1
2ma6,1.0,1
2ma7,1.0,1
2mas,4.0,4
2mbv,1.0,1
2mbx,1.0,1
2md8,1.0,1
2mdg,1.0,1
2mf8,3.0,1
2miq,1.0,1
2miu,1.0,1
2mkd,1.0,1
2mke,1.0,1
2mkn,3.0,1
2ml1,1.0,1
2ml2,1.0,1
2ml3,1.0,1
2mml,1.0,1
2mnz,2.0,1
2mpr,3.0,3
2mq1,1.0,1
2mrf,1.0,1
2ms0,3.0,2
2ms3,1.0,1
2msb,2.0,2
2mt5,1.0,1
2mta,4.0,8
2muc,2.0,8
2mum,1.0,1
2muq,1.0,1
2mxp,1.0,1
2mxv,1.0,1
2my1,1.0,1
2mzi,1.0,1
2mzw,2.0,2
2mzz,1.0,1
2n1a,2.0,2
2n1u,1.0,1
2n26,1.0,1
2n6a,1.0,1
2n7l,1.0,1
2n8a,2.0,1
2n8r,4.0,4
2n8y,1.0,1
2n94,1.0,1
2n95,1.0,1
2n9o,1.0,1
2n9p,2.0,2
2naa,1.0,1
2nab,1.0,1
2nax,1.0,1
2nb9,1.0,1
2nl9,2.0,4
2nly,1.0,1
2nog,2.0,2
2np0,2.0,1
2npn,1.0,1
2nqa,4.0,2
2nqg,1.0,1
2nrz,2.0,1
2ns6,1.0,1
2nsf,1.0,1
2nvb,4.0,2
2nvo,1.0,1
2nvu,5.0,5
2nvv,6.0,2
2nwh,1.0,2
2nx8,1.0,2
2nx9,2.0,2
2nxf,1.0,1
2nxp,8.0,1
2nyt,4.0,4
2nzj,4.0,1
2o03,1.0,2
2o06,2.0,2
2o08,2.0,2
2o14,1.0,1
2o17,1.0,1
2o18,4.0,4
2o1e,2.0,1
2o1o,2.0,2
2o1q,2.0,4
2o1s,4.0,2
2o1u,2.0,2
2o1z,2.0,2
2o35,2.0,4
2o36,1.0,1
2o39,4.0,6
2o3b,2.0,2
2o4v,3.0,3
2o56,8.0,8
2o5a,2.0,2
2o5j,16.0,5
2o6p,2.0,1
2o7u,9.0,1
2o8d,4.0,2
2o8o,2.0,1
2oaa,6.0,1
2oaj,1.0,1
2oba,6.0,6
2obb,1.0,2
2obh,4.0,2
2obm,1.0,1
2ocb,1.0,1
2oci,1.0,1
2od0,2.0,2
2od9,2.0,2
2ode,4.0,2
2odi,6.0,1
2oel,2.0,2
2oeo,1.0,1
2ofi,3.0,1
2ofx,2.0,2
2ogi,2.0,2
2ogj,6.0,6
2ogy,2.0,2
2oh3,1.0,2
2ohj,4.0,2
2oi2,1.0,2
2oi6,2.0,3
2oi7,2.0,6
2oik,4.0,2
2oin,4.0,1
2oiw,4.0,4
2ojw,5.0,10
2okl,2.0,1
2okv,4.0,2
2okx,2.0,1
2olg,1.0,1
2olm,1.0,2
2om6,2.0,2
2onh,2.0,2
2onk,10.0,5
2onr,1.0,1
2oo4,2.0,1
2ood,1.0,2
2oog,6.0,1
2ooi,2.0,2
2opc,1.0,1
2opo,4.0,2
2oqe,6.0,2
2ori,2.0,2
2orv,2.0,2
2os3,1.0,1
2osd,1.0,2
2ost,6.0,4
2ou2,1.0,1
2ou3,2.0,2
2ou7,1.0,1
2oux,2.0,2
2ov2,16.0,4
2ov3,1.0,1
2ovx,2.0,1
2ovz,2.0,4
2owa,2.0,1
2owl,2.0,2
2owo,4.0,1
2ows,1.0,1
2ox4,8.0,8
2ox6,4.0,2
2ox8,4.0,1
2ox9,4.0,1
2oxe,2.0,1
2oy3,1.0,1
2oz4,3.0,3
2ozb,6.0,2
2ozn,2.0,2
2ozo,1.0,1
2ozr,8.0,8
2ozu,1.0,1
2p06,2.0,4
2p0n,2.0,1
2p0r,4.0,2
2p0x,1.0,1
2p17,1.0,1
2p18,1.0,1
2p1h,1.0,1
2p1i,8.0,2
2p1r,4.0,2
2p3n,4.0,4
2p4p,2.0,2
2p4z,2.0,1
2p50,4.0,2
2p51,1.0,1
2p53,2.0,2
2p57,1.0,1
2p5b,4.0,1
2p5r,2.0,2
2p6t,8.0,8
2p6y,1.0,3
2p73,1.0,1
2p7q,6.0,2
2p7v,2.0,2
2p8c,1.0,8
2p8e,2.0,1
2p97,2.0,2
2p9x,4.0,4
2pa2,2.0,1
2pa4,4.0,4
2pag,1.0,1
2pah,2.0,4
2paj,1.0,1
2par,2.0,2
2pau,2.0,6
2pc6,4.0,2
2pc9,4.0,1
2pcl,1.0,2
2pcu,2.0,1
2pda,2.0,2
2pdo,8.0,4
2peb,2.0,2
2pfj,4.0,2
2pg3,1.0,2
2pgn,2.0,4
2ph1,1.0,2
2phk,2.0,2
2phm,1.0,2
2pht,2.0,2
2pig,2.0,2
2pjp,2.0,1
2pk0,4.0,1
2pke,2.0,2
2pkp,1.0,2
2pl1,1.0,2
2pli,4.0,4
2plm,1.0,1
2pls,12.0,2
2plt,1.0,1
2ply,4.0,1
2pml,1.0,2
2pmp,1.0,3
2pmq,2.0,8
2pms,4.0,2
2pmy,2.0,2
2pnc,2.0,2
2pny,1.0,1
2pok,2.0,2
2pom,1.0,1
2pop,4.0,4
2por,1.0,3
2pp1,6.0,6
2pp3,3.0,2
2ppb,16.0,5
2ppl,1.0,1
2ppq,1.0,2
2ppt,2.0,2
2pq7,1.0,2
2pr1,2.0,2
2pr7,2.0,1
2prn,1.0,3
2ps2,4.0,2
2psy,2.0,1
2ptw,1.0,2
2pu0,1.0,2
2pu3,1.0,1
2pun,2.0,2
2puy,3.0,2
2puz,2.0,2
2pvc,6.0,1
2pve,3.0,1
2pvf,2.0,1
2pvs,2.0,8
2pvx,8.0,1
2pw6,1.0,2
2px0,8.0,2
2py2,6.0,1
2pyh,2.0,1
2pyj,8.0,1
2pyw,2.0,2
2pz0,2.0,2
2pza,2.0,2
2pzf,2.0,2
2q02,4.0,1
2q04,6.0,1
2q09,1.0,1
2q0j,2.0,1
2q0y,1.0,2
2q1c,1.0,4
2q1d,1.0,2
2q1f,2.0,1
2q1z,4.0,2
2q29,2.0,4
2q2l,2.0,2
2q3f,2.0,1
2q3w,1.0,1
2q40,1.0,1
2q42,2.0,1
2q4a,2.0,2
2q5b,3.0,1
2q5e,8.0,1
2q5o,2.0,4
2q5q,2.0,2
2q5z,2.0,4
2q66,2.0,1
2q68,2.0,4
2q6q,2.0,2
2q7d,2.0,2
2q7s,2.0,1
2q7u,2.0,1
2q9i,10.0,3
2qa1,1.0,2
2qb0,4.0,2
2qb5,2.0,1
2qb7,2.0,1
2qby,4.0,2
2qdf,1.0,1
2qea,3.0,2
2qed,1.0,1
2qen,1.0,1
2qf2,2.0,1
2qfx,6.0,2
2qg8,1.0,3
2qga,2.0,4
2qgi,2.0,2
2qgs,2.0,2
2qgy,2.0,2
2qh0,1.0,2
2qic,2.0,1
2qjc,1.0,1
2qjm,4.0,8
2qjt,2.0,2
2qkd,1.0,1
2qkk,23.0,2
2qlt,1.0,1
2qlx,2.0,4
2qm1,4.0,2
2qm3,1.0,2
2qmu,3.0,3
2qn0,1.0,1
2qnd,2.0,1
2qng,1.0,1
2qnw,1.0,1
2qoc,1.0,1
2qoj,3.0,1
2qp2,1.0,1
2qpo,4.0,4
2qpx,1.0,3
2qq0,2.0,4
2qq4,10.0,5
2qq6,2.0,2
2qqg,2.0,1
2qqm,1.0,1
2qqo,2.0,1
2qqp,9.0,8
2qqw,1.0,1
2qs8,2.0,4
2qsw,1.0,2
2qt0,1.0,1
2qt3,2.0,1
2qt6,2.0,1
2qt7,2.0,4
2qub,6.0,1
2qv6,4.0,4
2qv7,1.0,1
2qvh,2.0,2
2qvm,1.0,1
2qw5,2.0,4
2qx0,2.0,2
2qxf,1.0,1
2qyl,1.0,1
2qym,1.0,2
2qyv,2.0,2
2r01,1.0,2
2r16,1.0,1
2r1d,10.0,1
2r1k,1.0,1
2r25,2.0,2
2r2d,6.0,2
2r2i,1.0,1
2r2v,8.0,4
2r3a,1.0,1
2r5n,2.0,2
2r5v,2.0,1
2r6f,2.0,2
2r6x,2.0,3
2r72,1.0,1
2r7d,3.0,1
2r7e,2.0,2
2r8d,1.0,2
2r8q,2.0,2
2r9v,1.0,1
2ra3,4.0,4
2ra6,4.0,2
2rag,4.0,2
2rap,1.0,1
2rar,1.0,1
2rau,1.0,1
2rb4,2.0,1
2rc6,4.0,1
2rcc,3.0,2
2rcn,1.0,1
2rcv,8.0,2
2rcy,5.0,10
2rd4,3.0,2
2rdn,1.0,1
2rdx,8.0,8
2re1,2.0,2
2rex,4.0,2
2rfk,6.0,3
2rg4,2.0,4
2rgm,2.0,2
2rgr,3.0,2
2rgt,2.0,2
2rh6,2.0,1
2rhk,4.0,4
2rhq,2.0,4
2ri7,2.0,1
2rio,2.0,2
2riq,1.0,2
2rjb,4.0,1
2rji,2.0,1
2rjp,4.0,1
2rjq,1.0,1
2rkn,1.0,1
2rld,5.0,5
2rmn,1.0,1
2rr4,2.0,1
2rsd,1.0,1
2rsh,1.0,1
2rsi,1.0,1
2rt9,1.0,1
2ruu,1.0,1
2rv6,1.0,1
2sas,1.0,2
2scp,2.0,2
2shk,2.0,2
2tbv,3.0,3
2tn4,1.0,1
2uur,1.0,1
2uvl,2.0,2
2uvp,4.0,4
2uw1,2.0,2
2uyd,1.0,1
2uz0,4.0,4
2uzg,1.0,1
2uzh,3.0,3
2uzp,3.0,1
2v08,2.0,6
2v0n,2.0,2
2v27,2.0,2
2v3b,2.0,2
2v3t,2.0,2
2v4n,1.0,2
2v53,4.0,4
2v55,4.0,2
2v5d,1.0,1
2v72,1.0,1
2v73,2.0,1
2v77,2.0,1
2v83,5.0,3
2v88,4.0,1
2v89,4.0,1
2v8l,1.0,1
2v8u,2.0,6
2v9k,1.0,1
2vac,1.0,1
2vad,1.0,1
2vb2,1.0,1
2vb6,2.0,2
2vbf,2.0,2
2vbi,8.0,4
2vbm,1.0,3
2vbn,6.0,2
2vbv,2.0,1
2vcg,4.0,2
2vd3,2.0,6
2vd9,2.0,2
2vdn,5.0,4
2ved,2.0,8
2ves,3.0,3
2vf7,3.0,2
2vf8,2.0,1
2vfj,4.0,1
2vfn,1.0,3
2vh3,2.0,2
2vh9,2.0,1
2vhc,3.0,3
2vhd,2.0,2
2vhf,2.0,1
2vhl,2.0,2
2vhx,6.0,6
2vic,4.0,2
2vjf,4.0,2
2vjl,2.0,2
2vjy,4.0,2
2vk6,1.0,1
2vkr,7.0,1
2vl1,4.0,2
2vl6,3.0,6
2vl8,3.0,1
2vm5,1.0,1
2vm8,4.0,4
2vm9,1.0,3
2vma,2.0,1
2vmb,2.0,1
2vmg,1.0,1
2vn2,4.0,4
2vn5,4.0,2
2vng,2.0,1
2vnp,2.0,1
2vnu,2.0,1
2vnv,5.0,2
2vo9,3.0,1
2vos,1.0,1
2vov,1.0,1
2vp0,2.0,2
2vp1,2.0,1
2vpb,2.0,2
2vpe,6.0,1
2vpq,2.0,2
2vpt,1.0,2
2vqa,3.0,3
2vqd,1.0,1
2vqg,9.0,1
2vqr,1.0,4
2vqx,1.0,1
2vr0,6.0,6
2vr2,1.0,4
2vrd,1.0,1
2vrg,1.0,1
2vrn,2.0,2
2vrt,8.0,1
2vrw,2.0,2
2vrz,2.0,2
2vsc,4.0,2
2vtc,2.0,1
2vu4,1.0,1
2vu9,1.0,1
2vui,1.0,2
2vun,4.0,4
2vus,16.0,1
2vut,16.0,2
2vuz,1.0,1
2vvd,1.0,1
2vve,2.0,4
2vvf,6.0,3
2vwt,3.0,6
2vx1,1.0,1
2vy0,2.0,1
2vy5,1.0,1
2vyo,1.0,1
2vyp,2.0,1
2vzr,2.0,1
2w02,2.0,1
2w0m,1.0,1
2w0q,2.0,2
2w0s,2.0,2
2w0t,1.0,1
2w13,1.0,1
2w16,3.0,1
2w1w,2.0,1
2w22,1.0,1
2w27,2.0,2
2w2d,4.0,2
2w2n,3.0,3
2w35,6.0,2
2w3j,1.0,1
2w3n,3.0,2
2w3o,4.0,1
2w3r,8.0,2
2w3z,1.0,1
2w4l,6.0,6
2w4x,1.0,1
2w4z,3.0,3
2w57,2.0,2
2w5a,1.0,1
2w5s,1.0,1
2w5z,2.0,1
2w68,3.0,1
2w7w,2.0,2
2w83,5.0,5
2w86,1.0,1
2w87,2.0,1
2w88,3.0,6
2w8c,2.0,3
2w8d,2.0,1
2w8s,4.0,4
2w93,4.0,2
2w9m,2.0,1
2w9n,1.0,1
2wad,3.0,1
2wag,1.0,2
2wat,6.0,3
2wbe,3.0,1
2wbt,2.0,2
2wbx,1.0,1
2wby,6.0,1
2wc9,1.0,1
2wcj,1.0,1
2wd6,2.0,1
2wda,1.0,1
2wdb,4.0,1
2wdd,1.0,1
2wdo,1.0,3
2wdz,4.0,4
2wel,2.0,2
2wfk,5.0,10
2wfr,1.0,1
2wfx,2.0,2
2wg8,3.0,1
2wg9,2.0,1
2wgz,2.0,2
2whi,6.0,6
2whk,1.0,1
2whx,2.0,1
2wic,1.0,3
2wii,3.0,3
2wim,2.0,1
2win,16.0,8
2wjd,1.0,2
2wjf,1.0,1
2wjh,2.0,1
2wjs,1.0,1
2wjv,4.0,2
2wjy,1.0,1
2wkn,8.0,4
2wkp,1.0,1
2wl9,4.0,8
2wli,2.0,2
2wm4,1.0,1
2wme,8.0,4
2wn2,3.0,3
2wnh,2.0,4
2wno,1.0,1
2wnv,6.0,3
2wnx,1.0,2
2wob,3.0,1
2woc,3.0,1
2woj,4.0,2
2woo,6.0,2
2wp4,2.0,2
2wqd,1.0,2
2wqp,1.0,2
2wt9,2.0,2
2wta,1.0,1
2wtf,6.0,1
2wtp,2.0,2
2wtz,4.0,1
2wuv,1.0,1
2wvf,2.0,2
2wvg,4.0,4
2wvl,2.0,2
2ww0,8.0,1
2ww8,1.0,1
2wwo,2.0,2
2wwy,8.0,2
2wyi,2.0,2
2wym,6.0,6
2wyn,4.0,2
2wys,2.0,1
2wz8,1.0,1
2wza,1.0,1
2wzf,1.0,1
2x0g,2.0,2
2x0q,1.0,2
2x0v,2.0,1
2x19,2.0,2
2x1a,2.0,1
2x2e,2.0,2
2x2p,1.0,1
2x2y,2.0,1
2x3b,2.0,2
2x3j,2.0,2
2x49,1.0,1
2x4d,2.0,2
2x4h,4.0,4
2x4k,2.0,6
2x5c,2.0,2
2x5f,2.0,2
2x5r,1.0,2
2x5z,2.0,2
2x6s,6.0,2
2x6u,1.0,1
2x77,2.0,2
2x7a,11.0,2
2x7j,4.0,4
2x7m,1.0,1
2x7q,1.0,1
2x8s,2.0,1
2x98,2.0,2
2x9h,1.0,1
2xaa,4.0,2
2xb1,2.0,1
2xb2,13.0,4
2xb3,1.0,2
2xb4,1.0,4
2xb6,4.0,2
2xbf,1.0,1
2xbj,1.0,2
2xbq,2.0,2
2xc1,3.0,3
2xc2,1.0,1
2xcm,6.0,3
2xcn,4.0,2
2xco,1.0,2
2xd4,1.0,1
2xdb,2.0,1
2xdg,2.0,2
2xdh,1.0,3
2xec,4.0,2
2xeu,1.0,2
2xev,3.0,1
2xf4,1.0,2
2xfd,1.0,1
2xfg,2.0,2
2xfv,2.0,2
2xhl,2.0,2
2xi3,2.0,1
2xi7,4.0,8
2xig,4.0,4
2xj7,2.0,2
2xj9,2.0,2
2xja,4.0,1
2xjc,1.0,2
2xjp,1.0,1
2xjy,2.0,2
2xjz,10.0,1
2xkb,12.0,1
2xkk,4.0,2
2xla,4.0,2
2xmm,2.0,2
2xmo,2.0,1
2xmr,3.0,1
2xn6,2.0,2
2xnj,2.0,1
2xom,1.0,1
2xoz,2.0,1
2xpy,1.0,1
2xqc,6.0,2
2xqn,3.0,2
2xqx,2.0,1
2xr1,2.0,2
2xr6,1.0,1
2xrc,4.0,1
2xre,2.0,2
2xrg,1.0,1
2xrm,1.0,2
2xs4,2.0,1
2xs7,2.0,1
2xsp,1.0,1
2xsv,1.0,2
2xsx,2.0,2
2xt6,2.0,2
2xtj,6.0,6
2xtm,2.0,1
2xto,2.0,1
2xts,4.0,4
2xtz,3.0,1
2xu0,1.0,1
2xv1,1.0,1
2xva,4.0,1
2xvt,6.0,3
2xvy,1.0,4
2xwc,1.0,2
2xwg,5.0,1
2xwy,1.0,1
2xxa,6.0,2
2xxl,2.0,1
2xyb,1.0,2
2xz0,4.0,3
2xz1,4.0,4
2xz4,2.0,1
2xz9,2.0,2
2xzl,2.0,1
2xzo,2.0,1
2xzw,9.0,3
2y0m,2.0,8
2y0o,1.0,2
2y1h,2.0,2
2y1n,4.0,1
2y20,6.0,2
2y2b,3.0,1
2y35,2.0,1
2y3c,1.0,1
2y3d,2.0,2
2y3n,4.0,2
2y43,2.0,2
2y4g,2.0,2
2y4m,2.0,1
2y4n,2.0,2
2y4o,2.0,2
2y4q,1.0,1
2y4s,1.0,1
2y4y,4.0,8
2y5i,6.0,2
2y5p,4.0,1
2y5q,1.0,1
2y6d,1.0,4
2y6e,6.0,6
2y6g,1.0,1
2y6i,2.0,1
2y6p,3.0,2
2y73,2.0,2
2y7f,4.0,4
2y7i,2.0,2
2y8a,1.0,1
2y8u,2.0,1
2y9x,8.0,2
2ya2,1.0,1
2yae,1.0,2
2yb1,1.0,1
2yb5,2.0,1
2yb9,1.0,2
2ybd,1.0,2
2yc2,4.0,2
2yc4,4.0,4
2yc5,1.0,2
2ycb,2.0,2
2ydx,5.0,2
2yeq,2.0,1
2yes,2.0,1
2yet,2.0,1
2yev,6.0,3
2yfr,1.0,1
2yg0,1.0,1
2ygk,2.0,2
2ygm,2.0,1
2ygp,1.0,2
2ygt,1.0,1
2yhg,1.0,1
2yhn,2.0,2
2yi1,1.0,2
2yi9,5.0,1
2yik,1.0,1
2yjg,2.0,2
2yjp,3.0,1
2yjq,2.0,1
2yk0,1.0,1
2yl8,1.0,1
2ymk,3.0,6
2yn3,4.0,2
2yn5,2.0,4
2ynt,3.0,2
2yoa,2.0,1
2yoc,2.0,4
2yor,2.0,2
2ypa,6.0,4
2ypt,8.0,1
2yqs,1.0,1
2yr2,2.0,1
2ysm,1.0,1
2yv5,1.0,1
2yv7,1.0,1
2yv9,2.0,2
2yvp,1.0,2
2yvr,2.0,2
2yvy,1.0,2
2yw8,1.0,1
2ywr,1.0,1
2yww,2.0,2
2yx1,2.0,1
2yx4,1.0,2
2yxh,2.0,2
2yxw,2.0,1
2yye,2.0,2
2yyr,3.0,2
2yz5,2.0,4
2yzj,3.0,3
2yzv,1.0,1
2z00,1.0,1
2z06,4.0,4
2z0j,8.0,2
2z0p,4.0,2
2z1a,1.0,1
2z1u,1.0,2
2z26,2.0,2
2z2p,4.0,2
2z2y,4.0,2
2z2z,1.0,1
2z36,2.0,1
2z3i,4.0,4
2z45,2.0,2
2z48,2.0,1
2z4e,10.0,6
2z4r,3.0,1
2z4t,1.0,1
2z4x,2.0,2
2z51,1.0,2
2z6i,2.0,2
2z70,2.0,1
2z7b,1.0,4
2z7q,1.0,1
2z86,4.0,2
2z87,2.0,1
2z8d,2.0,4
2z8e,2.0,1
2z8r,2.0,2
2z8z,1.0,1
2zae,4.0,2
2zag,4.0,1
2zah,3.0,3
2zai,4.0,2
2zan,1.0,1
2zba,4.0,1
2zbd,1.0,1
2zc2,2.0,1
2zc6,4.0,1
2zcu,1.0,2
2zcv,1.0,1
2zd9,4.0,4
2zdy,2.0,2
2ze0,1.0,2
2ze7,1.0,1
2zet,4.0,2
2zey,2.0,1
2zez,4.0,1
2zfd,2.0,2
2zgg,1.0,2
2zgy,2.0,2
2zhz,3.0,3
2zjs,4.0,2
2zjy,1.0,1
2zkm,1.0,1
2zkt,2.0,2
2zl7,2.0,2
2zmk,4.0,1
2zne,4.0,1
2znr,1.0,1
2zo4,1.0,1
2zoc,2.0,1
2zof,2.0,2
2zon,4.0,4
2zoo,1.0,3
2zox,1.0,1
2zpf,2.0,4
2zrq,1.0,1
2zrt,8.0,2
2zrw,4.0,4
2zsc,2.0,4
2zsg,2.0,2
2ztg,1.0,1
2zti,1.0,2
2ztk,1.0,2
2ztl,4.0,4
2zu9,2.0,2
2zum,1.0,1
2zux,2.0,1
2zuy,1.0,1
2zwi,2.0,1
2zwr,2.0,1
2zws,1.0,2
2zxc,2.0,1
2zxp,1.0,1
2zxq,1.0,1
2zxr,1.0,1
2zxu,4.0,1
2zyr,2.0,1
2zzg,2.0,1
2zzj,1.0,1
2zzv,2.0,2
3a09,1.0,1
3a0u,1.0,1
3a13,10.0,10
3a14,2.0,2
3a1a,1.0,1
3a1c,2.0,2
3a1z,4.0,1
3a28,8.0,4
3a31,1.0,2
3a37,2.0,2
3a43,2.0,1
3a4u,2.0,2
3a4w,2.0,1
3a52,2.0,2
3a58,6.0,2
3a62,1.0,1
3a6d,6.0,6
3a6p,10.0,2
3a6v,2.0,2
3a70,2.0,2
3a74,4.0,2
3a7j,1.0,1
3a7q,2.0,1
3a7r,1.0,1
3a8g,2.0,2
3a8r,2.0,2
3a9h,1.0,1
3a9i,1.0,2
3a9l,2.0,2
3a9s,3.0,6
3aag,2.0,1
3aal,1.0,1
3aam,1.0,1
3ab3,4.0,2
3ab9,1.0,1
3aci,1.0,1
3adc,4.0,2
3adr,2.0,1
3af5,1.0,1
3afg,2.0,1
3agq,1.0,2
3ahf,1.0,2
3ahn,2.0,1
3ahw,1.0,1
3ai7,8.0,2
3ai9,1.0,2
3aic,8.0,1
3aii,1.0,1
3ajx,4.0,2
3ak5,4.0,1
3akb,1.0,1
3akl,4.0,2
3akm,4.0,1
3al0,4.0,3
3aln,3.0,1
3alo,2.0,2
3alq,12.0,6
3alr,4.0,1
3alt,4.0,4
3amj,4.0,4
3amr,1.0,1
3anv,1.0,2
3aoi,24.0,6
3aq0,8.0,2
3aqc,4.0,2
3aqn,2.0,2
3asi,1.0,1
3atg,1.0,1
3atj,2.0,2
3att,1.0,1
3au0,1.0,2
3au2,1.0,1
3auw,4.0,4
3auz,1.0,1
3av0,2.0,2
3av5,1.0,1
3avt,2.0,1
3awd,4.0,4
3ax1,1.0,1
3ax7,2.0,2
3axe,1.0,1
3axi,1.0,1
3axs,1.0,2
3ay2,2.0,1
3ayg,1.0,1
3ayt,4.0,1
3ayz,4.0,4
3azz,4.0,1
3b12,2.0,2
3b1b,2.0,2
3b1j,4.0,4
3b1r,6.0,2
3b1u,1.0,2
3b2s,1.0,1
3b3d,3.0,1
3b40,1.0,1
3b4n,2.0,1
3b4r,2.0,2
3b4u,2.0,2
3b55,1.0,1
3b57,1.0,2
3b59,6.0,6
3b5i,2.0,2
3b6n,1.0,3
3b7w,1.0,3
3b7y,2.0,1
3b8i,6.0,4
3b8y,2.0,1
3b90,2.0,1
3b97,4.0,2
3b9j,6.0,3
3b9r,2.0,2
3b9t,4.0,2
3ba0,1.0,1
3bal,4.0,4
3bam,5.0,2
3bb4,1.0,1
3bb6,4.0,4
3bbp,6.0,1
3bby,1.0,2
3bc1,4.0,2
3bc9,1.0,1
3bd5,2.0,1
3bdj,2.0,2
3bdv,2.0,1
3beu,2.0,2
3bfm,1.0,2
3bg3,4.0,2
3bg5,4.0,4
3bga,2.0,2
3bgo,2.0,2
3bh7,2.0,2
3bi1,1.0,2
3bje,2.0,2
3bjs,2.0,8
3bju,4.0,4
3bk2,1.0,2
3bk5,1.0,1
3bkf,1.0,4
3bkq,1.0,1
3bkt,4.0,2
3bl5,6.0,1
3bli,1.0,2
3bn3,2.0,2
3bo5,1.0,1
3bof,2.0,2
3bow,3.0,3
3bp1,4.0,4
3bpd,14.0,7
3bpu,1.0,1
3bq5,2.0,1
3brb,2.0,1
3bre,2.0,2
3brw,4.0,1
3brx,1.0,1
3bs1,3.0,1
3bs6,2.0,1
3bsd,1.0,3
3bsu,10.0,3
3bta,1.0,1
3bv6,6.0,6
3bvc,2.0,4
3bvo,2.0,1
3bwl,4.0,2
3bwm,1.0,1
3bwv,2.0,2
3bww,1.0,1
3bwx,1.0,1
3bx1,4.0,2
3by6,5.0,2
3by9,2.0,1
3byr,1.0,2
3byw,8.0,2
3bz9,1.0,2
3bzj,1.0,2
3bzn,1.0,1
3c10,3.0,1
3c1q,2.0,2
3c25,4.0,2
3c2t,2.0,3
3c33,2.0,2
3c37,2.0,1
3c3y,2.0,2
3c41,2.0,2
3c4v,2.0,2
3c51,2.0,2
3c5i,5.0,1
3c5m,3.0,1
3c5p,6.0,4
3c6a,1.0,1
3c6l,8.0,8
3c6w,4.0,1
3c75,6.0,6
3c7f,1.0,1
3c7k,4.0,2
3c7n,2.0,2
3c8c,2.0,2
3c8v,4.0,2
3c94,3.0,1
3c9e,1.0,2
3c9f,2.0,1
3c9h,2.0,1
3c9i,6.0,3
3c9l,1.0,1
3c9t,2.0,2
3cao,1.0,1
3car,1.0,4
3caw,2.0,2
3cb3,4.0,2
3cbb,4.0,2
3cbg,1.0,2
3ccg,1.0,2
3cdx,6.0,6
3ce1,1.0,2
3ce2,1.0,1
3ce9,4.0,4
3cei,2.0,2
3cev,6.0,3
3cew,4.0,2
3cf4,2.0,4
3cfx,2.0,1
3cg4,1.0,1
3cgh,1.0,2
3chk,1.0,1
3chm,1.0,1
3chv,1.0,2
3chx,15.0,9
3ci0,3.0,3
3cia,4.0,1
3cif,4.0,4
3cin,1.0,4
3cis,8.0,2
3cjp,2.0,2
3cjy,1.0,2
3ck2,1.0,1
3ck4,12.0,4
3ck5,4.0,8
3ckb,2.0,1
3cke,4.0,3
3ckg,1.0,1
3cki,2.0,2
3clh,2.0,2
3clx,4.0,1
3cly,1.0,2
3cm5,2.0,1
3cmq,1.0,1
3cmu,2.0,1
3cmv,8.0,1
3cmx,6.0,1
3cne,4.0,2
3cng,4.0,2
3cni,1.0,2
3cnx,3.0,2
3cnz,2.0,1
3coa,6.0,1
3cob,2.0,1
3coq,4.0,2
3cos,4.0,2
3cp0,1.0,1
3cpa,1.0,1
3cpx,3.0,3
3cq3,5.0,2
3cqk,2.0,2
3cqo,3.0,3
3cqz,11.0,10
3cr3,4.0,4
3cr5,1.0,2
3crc,2.0,2
3crl,4.0,4
3csb,1.0,1
3csk,1.0,1
3csq,4.0,1
3csv,1.0,2
3csx,2.0,2
3ct8,1.0,2
3ctl,6.0,6
